lane,route_core,keep_in_blind_spot_when,leave_to_normal_thread_when,example_keep_names,example_leave_types
"Marketplace trust and coordination","consumer behavior","coordination trust seller-liquidity local-demand matching or multi-sided monetization is stronger than the sector label","the company is mainly a normal retailer software vendor or travel operator with no stronger coordination logic","Amazon; eBay; Airbnb; DoorDash; Instacart; Etsy; Booking","ordinary retailers; ordinary travel operators; ordinary SaaS names"
"Recurring attention and cultural distribution","consumer behavior","paid access ad-funded attention creator distribution device-content bundling or franchise-linked attention is the main engine","it is mainly a standard media software or content packet with no stronger attention-system logic","Netflix; Spotify; Meta; Alphabet; Disney; Snap","ordinary publishers; ordinary app vendors"
"Loyalty wallet membership and status","consumer behavior","fee membership stored value points currency status ladder or partner-funded loyalty is central","the company merely has a rewards program but the main story is still ordinary sector economics","Starbucks; American Express; Costco; Delta; Marriott","ordinary restaurants; ordinary retailers; ordinary hotels"
"Owned demand and channel control","consumer behavior","the real issue is DTC control versus wholesale distributor or marketplace dependence","the company mainly adds plain apparel footwear beauty or consumer packet coverage","Warby Parker; Nike; YETI; Ulta; Levi Strauss","ordinary brands with no stronger channel-control question"
"Comfort value routine ritual identity participation","consumer behavior","repeated behavior is the main analytical value not the aisle or product category","the company is mainly another product-category example with no sharper behavior-system signal","Crocs; Birkenstock; Planet Fitness; TJX; Colgate; Hasbro; Ulta; Monster","ordinary apparel staples beverage or toy backfill"
"Hidden consumer infrastructure","infrastructure","the company monetizes packaging substrate conversion waste routing plant-embedded support or another hidden delivery layer behind visible demand","the company is mainly ordinary materials paper or environmental-services coverage","Graphic Packaging; Clearwater Paper; Waste Management; CECO Environmental","ordinary paper packaging chemical or waste names"
"Control-layer and connectivity infrastructure","infrastructure","edge trust network governance optical transport or optical-input dependence is the strongest explanation","the company is mainly ordinary hardware software or telecom coverage","Cloudflare; Cisco; Palo Alto Networks; Ciena; Corning","ordinary networking vendors; ordinary component suppliers"
"Hidden connectivity and access-layer ownership","infrastructure","scarce site ownership tower rent route-density access resilient off-grid coverage bandwidth-heavy orbital access or private connectivity ownership is the core logic","the company is mainly ordinary REIT telecom or infrastructure packetization","American Tower; Crown Castle; SBA Communications; Iridium; Viasat","ordinary REITs; ordinary carriers"
"Physical execution and embedded workflow","infrastructure","access-over-ownership embedded procurement branch-density service or workflow control is stronger than the sector label","the company is mainly ordinary rental distribution or industrial backlog coverage","United Rentals; Fastenal; Ferguson","ordinary distributors; ordinary industrials"
"Modern built-environment crosswalk","infrastructure","the company materially sharpens a cross-sector property intermediation supply or execution chain","the company is best explained by a normal real-estate construction or industrial sector packet","Prologis; Equinix; Digital Realty; Home Depot; Builders FirstSource","ordinary builders; ordinary property names"
